MAP,TIER
surf_25_lighters,4
surf_4dimensional,4
surf_adventure_final,4
surf_airflow,4
surf_alend,4
surf_ambient_njv,4
surf_angst,4
surf_antimatter_v2,4
surf_anything,4
surf_apollonian,4
surf_artifex,4
surf_auroria2,4
surf_aux,4
surf_axil,4
surf_axiom,4
surf_beginner_hell,4
surf_beyer,4
surf_beyer2,4
surf_blackside,4
surf_blub,4
surf_bonk,4
surf_brodderlands,4
surf_calamity2,4
surf_calibration,4
surf_cannonball,4
surf_catalyst,4
surf_catalyst2,4
surf_cement,4
surf_chasm,4
surf_chateau_fix,4
surf_collaboration,4
surf_commune_too_beta5,4
surf_compulsive_njv_h,4
surf_concretejungle_fix,4
surf_consistenza_diversa,4
surf_constrictor_remix,4
surf_construction,4
surf_cordelia,4
surf_cozy,4
surf_curious,4
surf_cyanide,4
surf_delta,4
surf_desolate,4
surf_discovery,4
surf_divided_fix,4
surf_drifting,4
surf_dynamics_fixed,4
surf_efficacy,4
surf_ember2,4
surf_epithet,4
surf_eryr,4
surf_eternal_beta,4
surf_euphoria,4
surf_exclave_fix,4
surf_fabas,4
surf_facility,4
surf_finesse_final,4
surf_fire_eye,4
surf_forbidden_tomb,4
surf_forbidden_tomb2,4
surf_forbidden_tomb3,4
surf_forbidden_tomb4,4
surf_fortress_ksf,4
surf_freedom,4
surf_fungus,4
surf_gauntlet_final,4
surf_gekar,4
surf_ghost_busters,4
surf_goldarn,4
surf_greenhouse,4
surf_grotto,4
surf_halloween_fix,4
surf_happyhug,4
surf_hektik,4
surf_hope,4
surf_hydrogen,4
surf_hyper,4
surf_hyper2,4
surf_illumination,4
surf_illumination2,4
surf_infected,4
surf_inferno,4
surf_infrared,4
surf_injection_njv,4
surf_inrage2,4
surf_insignia_b1,4
surf_intense_ksf,4
surf_interceptor,4
surf_intra,4
surf_ixtab,4
surf_jaqen,4
surf_jizznipples,4
surf_junglespic_ksf,4
surf_kalium,4
surf_koa,4
surf_lab,4
surf_lax,4
surf_lepidus,4
surf_limbo,4
surf_lithium2,4
surf_loves_spliff,4
surf_loweffort,4
surf_lowestbidder,4
surf_lt_unicorn,4
surf_memories,4
surf_mephobia_final,4
surf_metalwall,4
surf_monotony_ksf,4
surf_mudkip,4
surf_nemesis,4
surf_neoplasma_ksf,4
surf_neoteric_retexture,4
surf_nikolo,4
surf_not_so_quick,4
surf_oddworld,4
surf_orbion,4
surf_overgrowth,4
surf_overgrowth2,4
surf_pancake,4
surf_paradigm,4
surf_parrot_selector_h,4
surf_pogchamp,4
surf_polygon,4
surf_proliferation,4
surf_prolix_fix,4
surf_prosperity_v2,4
surf_pure,4
surf_pyzire_fix,4
surf_qlimax_q,4
surf_quarantine,4
surf_quartus_ksf,4
surf_quattro,4
surf_quickie_fix,4
surf_ragequit,4
surf_rands,4
surf_redemption_b1,4
surf_refraxis,4
surf_resource,4
surf_rez2,4
surf_rst,4
surf_runewords,4
surf_runewords2,4
surf_runewords2_lod,4
surf_rustic_v2,4
surf_sacrifice,4
surf_sandman_v2,4
surf_savant_njv,4
surf_sc_colours,4
surf_sc_essence_v2,4
surf_secluded,4
surf_sempar_njv,4
surf_sensation_fix,4
surf_sentient,4
surf_serenity2,4
surf_sewers,4
surf_sexplizooimed,4
surf_sexyartz_njv,4
surf_sh,4
surf_shady_h,4
surf_shambles,4
surf_sippysip,4
surf_skill8,4
surf_sluice_final,4
surf_sluice2,4
surf_stonework,4
surf_sunday,4
surf_sunset,4
surf_sunset2_fix,4
surf_symbiosis,4
surf_synada,4
surf_taq,4
surf_tensor,4
surf_tequila,4
surf_theme,4
surf_this_njv,4
surf_trapped2,4
surf_triggered_fix,4
surf_trihard,4
surf_tundra_v2,4
surf_ultimate_fix,4
surf_underworld,4
surf_unreal_njv,4
surf_vector_final,4
surf_vienna,4
surf_volcanic,4
surf_warped,4
surf_wazor_ksf,4
surf_whoknows2,4
surf_whoknows3,4
surf_x,4
surf_y,4
surf_zeonine,4
surf_acerbus,5
surf_again_njv,5
surf_android_ksf,5
surf_antimatter2,5
surf_aphelion,5
surf_brutalist,5
surf_celestial,5
surf_cinnamon_fix,5
surf_clavius,5
surf_conserve,5
surf_core_refix,5
surf_crush,5
surf_damn,5
surf_diamond_beta1,5
surf_dionysus,5
surf_disneyland,5
surf_dova,5
surf_drift,5
surf_edge,5
surf_elysium,5
surf_elysium2,5
surf_elysium3,5
surf_elysium4,5
surf_entropy_hardmode,5
surf_eon_fix,5
surf_eryr2_fix,5
surf_exocube_h,5
surf_extremex2_5,5
surf_freaky,5
surf_froots2,5
surf_germania,5
surf_gurus_fix,5
surf_helloworld,5
surf_hero,5
surf_highlands,5
surf_hollow,5
surf_infamous_ksf,5
surf_infected_h,5
surf_izded,5
surf_kairo,5
surf_kalium2,5
surf_legendary,5
surf_loentra,5
surf_lolrevlis,5
surf_map_njv,5
surf_mdrn,5
surf_metallic,5
surf_minecraft_fix,5
surf_misc,5
surf_nesquik,5
surf_nightmare,5
surf_nostromo,5
surf_nyze,5
surf_our,5
surf_polonia,5
surf_polytron,5
surf_primero_fix,5
surf_remeanian,5
surf_revolution,5
surf_salient,5
surf_salient2,5
surf_salvation,5
surf_selenka,5
surf_seraph,5
surf_shoria,5
surf_skill8_h,5
surf_stitched,5
surf_stonework3,5
surf_strike,5
surf_technique,5
surf_the_distance,5
surf_timewarp,5
surf_transient,5
surf_trapped,5
surf_treefort,5
surf_tronic_njv,5
surf_tycho_fix,5
surf_unreal2,5
surf_z,5
surf_666,6
surf_amaro,6
surf_autonomy,6
surf_crimson,6
surf_crush2,6
surf_disaster,6
surf_embrace,6
surf_epiphany,6
surf_exile,6
surf_feudal,6
surf_garden_h,6
