map,tier
surf_aircontrol_ksf,1
surf_andromeda,1
surf_and_destroy_fix,1
surf_apollo,1
surf_aser,1
surf_aura,1
surf_beginner,1
surf_borderlands,1
surf_boreas,1
surf_calycate2,1
surf_calzone,1
surf_chaos_fix,1
surf_deathstar,1
surf_derpis_ksf,1
surf_egypt2,1
surf_forbidden_ways_ksf,1
surf_forgotten,1
surf_fornax,1
surf_frost,1
surf_hourglass,1
surf_kepler,1
surf_legends,1
surf_lovetunnel,1
surf_lullaby_ksf,1
surf_lux,1
surf_mom_fix,1
surf_nyx,1
surf_ny_momentum_v3_1,1
surf_pantheon,1
surf_perennial,1
surf_pox,1
surf_reprise,1
surf_satellite_fix,1
surf_summit,1
surf_tendies,1
surf_tranquil,1
surf_utopia_njv,1
surf_whiteout,1
surf_8bit,2
surf_ace,2
surf_amplitude_encore,2
surf_amplitude_light,2
surf_anzchamps,2
surf_aquaflow,2
surf_aqua_fix,2
surf_arcade,2
surf_beginner2,2
surf_boring,2
surf_cavemissile_fix,2
surf_coralis_ksf,2
surf_cyberwave,2
surf_deadline,2
surf_delusional,2
surf_domain,2
surf_driftless,2
surf_duggywuggy,2
surf_ebony,2
surf_eclipse,2
surf_eggplant,2
surf_elements_beta3,2
surf_ethereal,2
surf_exurbia_v2,2
surf_faint_fix,2
surf_fruits,2
surf_funhouse2,2
surf_funhouse_v1,2
surf_furios,2
surf_glass9,2
surf_gleam,2
surf_gleam2,2
surf_globalchaos,2
surf_graphia,2
surf_grassland,2
surf_greensway,2
surf_guitar_hi,2
surf_hurrr,2
surf_illusion,2
surf_imex,2
surf_inspire,2
surf_island,2
surf_ivory,2
surf_jenocide,2
surf_juturna,2
surf_kloakk,2
surf_klue,2
surf_korn,2
surf_krow10,2
surf_lessons,2
surf_lockdown,2
surf_mate,2
surf_me,2
surf_mellow,2
surf_mesa_mine,2
surf_nebula,2
surf_not_so_disaster,2
surf_nova,2
surf_ny_platinum,2
surf_oasis,2
surf_palm,2
surf_pandora,2
surf_pathfinder,2
surf_premium,2
surf_presmon_fix,2
surf_rez,2
surf_ripper,2
surf_rocco_v2,2
surf_sanctuary,2
surf_sandtrap,2
surf_sandtrap2,2
surf_seaworld_fix,2
surf_semesterbreak,2
surf_skipalot,2
surf_slob,2
surf_spacejam,2
surf_squirrelsonvacation,2
surf_stonks,2
surf_sunnyhappylove,2
surf_syria,2
surf_s_t_a_t_i_o_n,2
surf_tensile_njv,2
surf_the_gloaming,2
surf_tomb_redone,2
surf_unraveled,2
surf_vegetables,2
surf_verge,2
surf_waterworks,2
surf_wood,2
surf_zealand,2
surf_zenith,2
surf_zor,2
surf_004_fix,3
surf_2012_beta12,3
surf_6,3
surf_a,3
surf_abstinens,3
surf_adtr_njv,3
surf_adventure_final,3
surf_amateur_v2b,3
surf_animals_ksf,3
surf_anthropomorphic,3
surf_anything,3
surf_arghmyeyes_retexture,3
surf_asrown,3
surf_ataque_final,3
surf_bbb,3
surf_be_gentle,3
surf_bork_nbv,3
surf_b_r_o_x_x_x,3
surf_calamity_njv,3
surf_canisius2_fix,3
surf_cartoon,3
surf_catalyst,3
surf_catalyst2,3
surf_compulsive_njv,3
surf_concept,3
surf_constrictor_remix,3
surf_cookiejar,3
surf_creation,3
surf_cyanide,3
surf_cyka_ksf,3
surf_deceptive_final,3
surf_destiny_fixed,3
surf_diminsion,3
surf_distraction_v2,3
surf_diverge,3
surf_dragon,3
surf_dusk,3
surf_dynasty,3
surf_ecosystem,3
surf_epic,3
surf_epithet,3
surf_eunoia,3
surf_euphoria,3
surf_exogenesis,3
surf_extremex,3
surf_exurbia2,3
surf_exxak,3
surf_ezclap,3
surf_fantasy,3
surf_flatliners,3
surf_fractal,3
surf_frequency_njv,3
surf_friday,3
surf_gauntlet_final,3
surf_grotto,3
surf_happyhands2,3
surf_happyhands3,3
surf_happyhands4,3
surf_happyhands5,3
surf_healthy,3
surf_heaven_njv,3
surf_helium_fix,3
surf_hob,3
surf_huh,3
surf_iceworld,3
surf_illumination,3
surf_imagine_fix,3
surf_inrage,3
surf_insideout_final,3
surf_jaqen,3
surf_jaqen2,3
surf_kawaii,3
surf_kitsune2,3
surf_kz_protraining,3
surf_liberation,3
surf_liberation2,3
surf_lies_ksf,3
surf_lithium,3
surf_lolrevlis2,3
surf_lost,3
surf_lost2,3
surf_low_production,3
surf_marbleblast_intermediate,3
surf_methadone,3
surf_midsommar,3
surf_missing_no,3
surf_morbid,3
surf_mwag_reloaded,3
surf_mynah_final,3
surf_nac,3
surf_networked,3
surf_network_2013,3
surf_noble,3
surf_ny_momentum2_ksf,3
surf_pagoda,3
surf_palais,3
surf_papertown,3
surf_parrot_selector,3
surf_pavilion,3
surf_perforated_restored,3
surf_petrus,3
surf_plaguelands_beta7a,3
surf_plethora_fix,3
surf_portal_game4,3
surf_prosaic,3
surf_proximity_final,3
surf_psychedelia,3
surf_purgatory,3
surf_quantum_njv,3
surf_queen_of_the_ween,3
surf_quilavar,3
surf_razer_final,3
surf_redemption_b1,3
surf_refraxis,3
surf_resort,3
surf_retroartz,3
surf_sandbrick,3
surf_sanding_ksf,3
surf_sandstorm2,3
surf_sci_fi,3
surf_sempar_njv,3
surf_sentient,3
surf_serenity,3
surf_sh,3
surf_sinsane_ez,3
surf_sirius,3
surf_sky_ages,3
surf_smile_njv,3
surf_spaceship_ksf,3
surf_spectrum_njv,3
surf_stagejuan_ksf,3
surf_static,3
surf_stick,3
surf_stonework2,3
surf_strafe,3
surf_subway,3
surf_sylvan,3
surf_take1,3
surf_tempest,3
surf_tempest2,3
surf_tenacious,3
surf_thembrium_njv,3
surf_this_njv,3
surf_togo,3
surf_torque,3
surf_torque2,3
surf_two_colour,3
surf_ultimatum,3
surf_undergrowth,3
surf_vale,3
surf_vale2,3
surf_velocity,3
surf_warped,3
surf_wasteland2,3
surf_wicked,3
surf_wizard,3
surf_yellow,3
surf_zion,3
surf_airflow,4
surf_alend,4
surf_ambient_njv,4
surf_artifex,4
surf_auroria_ksf,4
surf_awakening,4
surf_axil,4
surf_axiom,4
surf_beginner_hell,4
surf_beyer,4
surf_beyer2,4
surf_blackside,4
surf_bonk,4
surf_brodderlands,4
surf_calibration,4
surf_cannonball,4
surf_chateau_fix,4
surf_collaboration,4
surf_collection_njv,4
surf_commune_too_beta5,4
surf_compact,4
surf_construction,4
surf_cordelia,4
surf_cozy,4
surf_curious,4
surf_depths,4
surf_dhyana,4
surf_dynamics_fixed,4
surf_efficacy,4
surf_eryr,4
surf_exclave_fix,4
surf_fabas,4
surf_facility,4
surf_finesse_final,4
surf_fire_eye,4
surf_forbidden_tomb,4
surf_forbidden_tomb2,4
surf_forbidden_tomb3,4
surf_fungus,4
surf_gekar,4
surf_goldarn,4
surf_greenhouse,4
surf_hektik,4
surf_industries,4
surf_infected,4
surf_inferno,4
surf_injection_njv,4
surf_inrage2,4
surf_insignia_b1,4
surf_interceptor,4
surf_jizznipples,4
surf_junglespic_ksf,4
surf_koa,4
surf_lab,4
surf_lithium2,4
surf_loweffort,4
surf_lowestbidder,4
surf_masonry,4
surf_memories,4
surf_metalwall,4
surf_milkyway,4
surf_mushroom_ksf,4
surf_nemesis,4
surf_nikolo,4
surf_not_so_quick,4
surf_oddworld,4
surf_oompa2,4
surf_orbion,4
surf_pancake,4
surf_pandemonium_njv,4
surf_placid,4
surf_prolix_fix,4
surf_prosperity_v2,4
surf_pure,4
surf_quartus_ksf,4
surf_ragequit,4
surf_resource,4
surf_rst,4
surf_runewords2_lod,4
surf_rustic_v2,4
surf_sanguine,4
surf_savant_njv,4
surf_sc_colours,4
surf_secluded,4
surf_serenity2,4
surf_sewers,4
surf_sexyartz_njv,4
surf_shambles,4
surf_shoria,4
surf_sippysip,4
surf_stickybutt_alpha,4
surf_sunday,4
surf_sunset,4
surf_symbiosis,4
surf_synada,4
surf_taq,4
surf_tequila,4
surf_theunexpected,4
surf_underworld,4
surf_vector_final,4
surf_vienna,4
surf_volcanic,4
surf_whoknows2,4
surf_whoknows3,4
